,index,Date,Open,High,Low,Close,Adj Close,Volume,Rolling_Mean_30,Rolling_Mean_90
0,1006,2024-01-02,49.24399948120117,49.29499816894531,47.595001220703125,48.167999267578125,48.15766525268555,411254000,48.22313334147135,46.017977735731336
1,1007,2024-01-03,47.48500061035156,48.183998107910156,47.31999969482422,47.569000244140625,47.55879592895508,320896000,48.165500005086265,46.02248886956109
2,1008,2024-01-04,47.766998291015625,48.5,47.507999420166016,47.99800109863281,47.98770523071289,306535000,48.0851333618164,46.04448886447483
3,1009,2024-01-05,48.46200180053711,49.547000885009766,48.305999755859375,49.09700012207031,49.086463928222656,415039000,48.05690002441406,46.06962220933702
4,1010,2024-01-08,49.512001037597656,52.275001525878906,49.479000091552734,52.25299835205078,52.24178695678711,642510000,48.17479998270671,46.10816663106282
5,1011,2024-01-09,52.4010009765625,54.32500076293945,51.689998626708984,53.13999938964844,53.12860107421875,773100000,48.35359992980957,46.15123329162598
6,1012,2024-01-10,53.61600112915039,54.599998474121094,53.48899841308594,54.349998474121094,54.338340759277344,533796000,48.55719985961914,46.206733279758026
7,1013,2024-01-11,54.999000549316406,55.34600067138672,53.560001373291016,54.821998596191406,54.810237884521484,596759000,48.790566507975264,46.27687772115072
8,1014,2024-01-12,54.619998931884766,54.970001220703125,54.33000183105469,54.709999084472656,54.69825744628906,352994000,49.00956649780274,46.345344373914934
9,1015,2024-01-16,55.018001556396484,56.834999084472656,54.900001525878906,56.38199996948242,56.369903564453125,449580000,49.32996648152669,46.44891103108724
10,1016,2024-01-17,56.34700012207031,56.47100067138672,54.7400016784668,56.053001403808594,56.04097366333008,474394000,49.639566548665364,46.55793325636122
11,1017,2024-01-18,57.2599983215332,57.599998474121094,56.106998443603516,57.106998443603516,57.09474563598633,491650000,50.02613321940104,46.68609992133246
12,1018,2024-01-19,57.98899841308594,59.5,57.224998474121094,59.49100112915039,59.478233337402344,543501000,50.45696652730306,46.845133251614044
13,1019,2024-01-22,60.04899978637695,60.33100128173828,59.06999969482422,59.65399932861328,59.64120101928711,452955000,50.928666559855145,47.0093999226888
14,1020,2024-01-23,59.56999969482422,59.90999984741211,58.584999084472656,59.87300109863281,59.86015701293945,294654000,51.371233240763345,47.169266594780815
15,1021,2024-01-24,60.30400085449219,62.8489990234375,59.9379997253418,61.36199951171875,61.34883117675781,560271000,51.833099873860675,47.34461101955838
16,1022,2024-01-25,62.349998474121094,62.71900177001953,60.849998474121094,61.617000579833984,61.60377883911133,482777000,52.33276659647624,47.541466564602324
17,1023,2024-01-26,60.959999084472656,61.78300094604492,60.573001861572266,61.03099822998047,61.017906188964844,390309000,52.77856648763021,47.731077660454645
18,1024,2024-01-29,61.231998443603516,62.48899841308594,60.90700149536133,62.46500015258789,62.45159912109375,348733000,53.257799784342446,47.9415776570638
19,1025,2024-01-30,62.900001525878906,63.49300003051758,62.2599983215332,62.77399826049805,62.760528564453125,410735000,53.73859977722168,48.16974432203505
20,1026,2024-01-31,61.439998626708984,62.26900100708008,60.70000076293945,61.527000427246094,61.513797760009766,453795000,54.159833145141604,48.39763323465983
21,1027,2024-02-01,62.099998474121094,63.191001892089844,61.650001525878906,63.027000427246094,63.01347732543945,369146000,54.59149983723958,48.63559989929199
22,1028,2024-02-02,63.9739990234375,66.5999984741211,63.689998626708984,66.16000366210938,66.14580535888672,476578000,55.1433666229248,48.90157771640354
23,1029,2024-02-05,68.2249984741211,69.49700164794922,67.20500183105469,69.33200073242188,69.31713104248047,680078000,55.85073331197103,49.206255510118275
24,1030,2024-02-06,69.62999725341797,69.75399780273438,66.30000305175781,68.2229995727539,68.20836639404297,683111000,56.4918332417806,49.49242218865289
25,1031,2024-02-07,68.31900024414062,70.22000122070312,67.5999984741211,70.0989990234375,70.08395385742188,495575000,57.20079981486003,49.792533281114366
26,1032,2024-02-08,70.0739974975586,70.79399871826172,69.45500183105469,69.64099884033203,69.62605285644531,414422000,57.87953313191732,50.08299992879232
27,1033,2024-02-09,70.53299713134766,72.18499755859375,70.21199798583984,72.13300323486328,72.11751556396484,436637000,58.63673324584961,50.38689994812012
28,1034,2024-02-12,72.5999984741211,74.61100006103516,71.25,72.24800109863281,72.23249816894531,613710000,59.39426663716634,50.7061333126492
29,1035,2024-02-13,70.4000015258789,73.44999694824219,69.62000274658203,72.12799835205078,72.1125259399414,602580000,60.14779993693034,51.01821106804742
30,1036,2024-02-14,73.2020034790039,74.23600006103516,71.93800354003906,73.9000015258789,73.88414764404297,504917000,61.005533345540364,51.34278886583116
31,1037,2024-02-15,73.86900329589844,73.9749984741211,72.4000015258789,72.65799713134766,72.64241027832031,420122000,61.8418332417806,51.64163326687283
32,1038,2024-02-16,74.0999984741211,74.4020004272461,72.5009994506836,72.61299896240234,72.59741973876953,495327000,62.662333170572914,51.94541104634603
33,1039,2024-02-20,71.9469985961914,71.95600128173828,67.73400115966797,69.4520034790039,69.43709564208984,704833000,63.340833282470705,52.20823330349393
34,1040,2024-02-21,68.00599670410156,68.88800048828125,66.24800109863281,67.47200012207031,67.45752716064453,690298000,63.84813334147135,52.43785552978515
35,1041,2024-02-22,75.0250015258789,78.57499694824219,74.22000122070312,78.53800201416016,78.52115631103516,865100000,64.69473342895508,52.78888888888889
36,1042,2024-02-23,80.79000091552734,82.39399719238281,77.56999969482422,78.81700134277344,78.80009460449219,829388000,65.51030019124349,53.159511142306854
37,1043,2024-02-26,79.69999694824219,80.64600372314453,78.50499725341797,79.09200286865234,79.07503509521484,503973000,66.31930033365886,53.52614449395074
